Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;01 Andalucía;Total;2019T4;3.959,9
Ambos sexos;01 Andalucía;Total;2019T3;3.966,6
Ambos sexos;01 Andalucía;Total;2019T2;3.971,4
Ambos sexos;01 Andalucía;Total;2019T1;3.935,6
Ambos sexos;01 Andalucía;Total;2018T4;3.924,6
Ambos sexos;01 Andalucía;Total;2018T3;3.930,9
Ambos sexos;01 Andalucía;Total;2018T2;3.942,7
Ambos sexos;01 Andalucía;Total;2018T1;3.943,4
Ambos sexos;01 Andalucía;Total;2017T4;3.932,2
Ambos sexos;01 Andalucía;Total;2017T3;3.957,9
Ambos sexos;01 Andalucía;Total;2017T2;3.962,1
Ambos sexos;01 Andalucía;Total;2017T1;3.980,8
Ambos sexos;02 Aragón;Total;2019T4;656,4
Ambos sexos;02 Aragón;Total;2019T3;659,0
Ambos sexos;02 Aragón;Total;2019T2;651,8
Ambos sexos;02 Aragón;Total;2019T1;645,0
Ambos sexos;02 Aragón;Total;2018T4;649,0
Ambos sexos;02 Aragón;Total;2018T3;643,6
Ambos sexos;02 Aragón;Total;2018T2;641,0
Ambos sexos;02 Aragón;Total;2018T1;634,6
Ambos sexos;02 Aragón;Total;2017T4;638,3
Ambos sexos;02 Aragón;Total;2017T3;637,2
Ambos sexos;02 Aragón;Total;2017T2;643,1
Ambos sexos;02 Aragón;Total;2017T1;643,3
Ambos sexos;03 Asturias, Principado de;Total;2019T4;451,3
Ambos sexos;03 Asturias, Principado de;Total;2019T3;451,2
Ambos sexos;03 Asturias, Principado de;Total;2019T2;448,2
Ambos sexos;03 Asturias, Principado de;Total;2019T1;453,5
Ambos sexos;03 Asturias, Principado de;Total;2018T4;448,3
Ambos sexos;03 Asturias, Principado de;Total;2018T3;455,7
Ambos sexos;03 Asturias, Principado de;Total;2018T2;454,2
Ambos sexos;03 Asturias, Principado de;Total;2018T1;456,5
Ambos sexos;03 Asturias, Principado de;Total;2017T4;455,0
Ambos sexos;03 Asturias, Principado de;Total;2017T3;457,1
Ambos sexos;03 Asturias, Principado de;Total;2017T2;461,5
