Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;01 Andalucía;General;Índice;2019T4;118,553
Nacional;01 Andalucía;General;Índice;2019T3;119,331
Nacional;01 Andalucía;General;Índice;2019T2;116,842
Nacional;01 Andalucía;General;Índice;2019T1;114,705
Nacional;01 Andalucía;General;Índice;2018T4;113,831
Nacional;01 Andalucía;General;Índice;2018T3;112,673
Nacional;01 Andalucía;General;Índice;2018T2;110,695
Nacional;01 Andalucía;General;Índice;2018T1;108,283
Nacional;01 Andalucía;General;Índice;2017T4;107,763
Nacional;01 Andalucía;General;Índice;2017T3;106,913
Nacional;01 Andalucía;General;Índice;2017T2;105,676
Nacional;01 Andalucía;General;Índice;2017T1;104,051
Nacional;02 Aragón;General;Índice;2019T4;118,107
Nacional;02 Aragón;General;Índice;2019T3;117,328
Nacional;02 Aragón;General;Índice;2019T2;116,219
Nacional;02 Aragón;General;Índice;2019T1;114,400
Nacional;02 Aragón;General;Índice;2018T4;111,958
Nacional;02 Aragón;General;Índice;2018T3;110,941
Nacional;02 Aragón;General;Índice;2018T2;108,946
Nacional;02 Aragón;General;Índice;2018T1;107,505
Nacional;02 Aragón;General;Índice;2017T4;105,419
Nacional;02 Aragón;General;Índice;2017T3;105,181
Nacional;02 Aragón;General;Índice;2017T2;104,254
Nacional;02 Aragón;General;Índice;2017T1;104,298
Nacional;03 Asturias, Principado de;General;Índice;2019T4;112,223
Nacional;03 Asturias, Principado de;General;Índice;2019T3;111,463
Nacional;03 Asturias, Principado de;General;Índice;2019T2;110,472
Nacional;03 Asturias, Principado de;General;Índice;2019T1;108,084
Nacional;03 Asturias, Principado de;General;Índice;2018T4;107,600
Nacional;03 Asturias, Principado de;General;Índice;2018T3;107,658
Nacional;03 Asturias, Principado de;General;Índice;2018T2;105,095
Nacional;03 Asturias, Principado de;General;Índice;2018T1;104,140
Nacional;03 Asturias, Principado de;General;Índice;2017T4;104,111
Nacional;03 Asturias, Principado de;General;Índice;2017T3;103,132
Nacional;03 Asturias, Principado de;General;Índice;2017T2;100,953
Nacional;03 Asturias, Principado de;General;Índice;2017T1;101,946
Nacional;04 Balears, Illes;General;Índice;2019T4;133,139
Nacional;04 Balears, Illes;General;Índice;2019T3;133,920
Nacional;04 Balears, Illes;General;Índice;2019T2;128,181
Nacional;04 Balears, Illes;General;Índice;2019T1;127,149
Nacional;04 Balears, Illes;General;Índice;2018T4;126,178
Nacional;04 Balears, Illes;General;Índice;2018T3;126,301
Nacional;04 Balears, Illes;General;Índice;2018T2;121,782
Nacional;04 Balears, Illes;General;Índice;2018T1;118,479
Nacional;04 Balears, Illes;General;Índice;2017T4;118,636
Nacional;04 Balears, Illes;General;Índice;2017T3;118,005
