Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
01 Andalucía;Índice general;Índice;2019M12;97,847
01 Andalucía;Índice general;Índice;2019M11;98,071
01 Andalucía;Índice general;Índice;2019M10;97,955
01 Andalucía;Índice general;Índice;2019M09;96,913
01 Andalucía;Índice general;Índice;2019M08;96,716
01 Andalucía;Índice general;Índice;2019M07;96,765
01 Andalucía;Índice general;Índice;2019M06;97,574
01 Andalucía;Índice general;Índice;2019M05;97,810
01 Andalucía;Índice general;Índice;2019M04;97,585
01 Andalucía;Índice general;Índice;2019M03;96,603
01 Andalucía;Índice general;Índice;2019M02;96,168
01 Andalucía;Índice general;Índice;2019M01;95,877
01 Andalucía;Índice general;Índice;2018M12;97,331
01 Andalucía;Índice general;Índice;2018M11;97,807
01 Andalucía;Índice general;Índice;2018M10;97,936
01 Andalucía;Índice general;Índice;2018M09;97,037
01 Andalucía;Índice general;Índice;2018M08;96,629
01 Andalucía;Índice general;Índice;2018M07;96,467
01 Andalucía;Índice general;Índice;2018M06;97,401
01 Andalucía;Índice general;Índice;2018M05;97,223
01 Andalucía;Índice general;Índice;2018M04;96,376
01 Andalucía;Índice general;Índice;2018M03;95,471
01 Andalucía;Índice general;Índice;2018M02;95,336
01 Andalucía;Índice general;Índice;2018M01;95,161
01 Andalucía;Índice general;Índice;2017M12;96,390
01 Andalucía;Índice general;Índice;2017M11;96,448
01 Andalucía;Índice general;Índice;2017M10;95,962
01 Andalucía;Índice general;Índice;2017M09;94,964
01 Andalucía;Índice general;Índice;2017M08;94,626
01 Andalucía;Índice general;Índice;2017M07;94,428
01 Andalucía;Índice general;Índice;2017M06;95,266
01 Andalucía;Índice general;Índice;2017M05;95,342
01 Andalucía;Índice general;Índice;2017M04;95,338
01 Andalucía;Índice general;Índice;2017M03;94,410
01 Andalucía;Índice general;Índice;2017M02;94,331
01 Andalucía;Índice general;Índice;2017M01;94,686
02 Aragón;Índice general;Índice;2019M12;97,907
02 Aragón;Índice general;Índice;2019M11;98,005
02 Aragón;Índice general;Índice;2019M10;97,893
02 Aragón;Índice general;Índice;2019M09;96,895
02 Aragón;Índice general;Índice;2019M08;96,936
02 Aragón;Índice general;Índice;2019M07;96,853
02 Aragón;Índice general;Índice;2019M06;97,519
02 Aragón;Índice general;Índice;2019M05;97,661
02 Aragón;Índice general;Índice;2019M04;97,512
02 Aragón;Índice general;Índice;2019M03;96,472
02 Aragón;Índice general;Índice;2019M02;96,226
02 Aragón;Índice general;Índice;2019M01;95,992
02 Aragón;Índice general;Índice;2018M12;97,155
02 Aragón;Índice general;Índice;2018M11;97,701
02 Aragón;Índice general;Índice;2018M10;97,788
02 Aragón;Índice general;Índice;2018M09;96,766
02 Aragón;Índice general;Índice;2018M08;96,503
02 Aragón;Índice general;Índice;2018M07;96,387
02 Aragón;Índice general;Índice;2018M06;97,103
02 Aragón;Índice general;Índice;2018M05;96,914
02 Aragón;Índice general;Índice;2018M04;96,022
02 Aragón;Índice general;Índice;2018M03;95,289
02 Aragón;Índice general;Índice;2018M02;95,245
02 Aragón;Índice general;Índice;2018M01;95,052
02 Aragón;Índice general;Índice;2017M12;96,020
02 Aragón;Índice general;Índice;2017M11;96,114
02 Aragón;Índice general;Índice;2017M10;95,735
02 Aragón;Índice general;Índice;2017M09;94,546
02 Aragón;Índice general;Índice;2017M08;94,361
02 Aragón;Índice general;Índice;2017M07;94,163
02 Aragón;Índice general;Índice;2017M06;94,935
02 Aragón;Índice general;Índice;2017M05;94,897
02 Aragón;Índice general;Índice;2017M04;94,977
02 Aragón;Índice general;Índice;2017M03;94,226
02 Aragón;Índice general;Índice;2017M02;94,328
02 Aragón;Índice general;Índice;2017M01;94,616
03 Asturias, Principado de;Índice general;Índice;2019M12;98,339
03 Asturias, Principado de;Índice general;Índice;2019M11;98,480
03 Asturias, Principado de;Índice general;Índice;2019M10;98,001
03 Asturias, Principado de;Índice general;Índice;2019M09;96,992
03 Asturias, Principado de;Índice general;Índice;2019M08;97,374
03 Asturias, Principado de;Índice general;Índice;2019M07;97,446
03 Asturias, Principado de;Índice general;Índice;2019M06;98,125
03 Asturias, Principado de;Índice general;Índice;2019M05;98,190
03 Asturias, Principado de;Índice general;Índice;2019M04;97,808
03 Asturias, Principado de;Índice general;Índice;2019M03;96,855
03 Asturias, Principado de;Índice general;Índice;2019M02;96,645
03 Asturias, Principado de;Índice general;Índice;2019M01;96,385
03 Asturias, Principado de;Índice general;Índice;2018M12;97,953
03 Asturias, Principado de;Índice general;Índice;2018M11;98,448
03 Asturias, Principado de;Índice general;Índice;2018M10;98,241
03 Asturias, Principado de;Índice general;Índice;2018M09;97,337
03 Asturias, Principado de;Índice general;Índice;2018M08;97,433
03 Asturias, Principado de;Índice general;Índice;2018M07;97,150
03 Asturias, Principado de;Índice general;Índice;2018M06;97,796
03 Asturias, Principado de;Índice general;Índice;2018M05;97,482
03 Asturias, Principado de;Índice general;Índice;2018M04;96,503
03 Asturias, Principado de;Índice general;Índice;2018M03;95,622
03 Asturias, Principado de;Índice general;Índice;2018M02;95,632
03 Asturias, Principado de;Índice general;Índice;2018M01;95,556
03 Asturias, Principado de;Índice general;Índice;2017M12;96,862
03 Asturias, Principado de;Índice general;Índice;2017M11;96,910
03 Asturias, Principado de;Índice general;Índice;2017M10;96,239
03 Asturias, Principado de;Índice general;Índice;2017M09;95,295
03 Asturias, Principado de;Índice general;Índice;2017M08;95,316
03 Asturias, Principado de;Índice general;Índice;2017M07;94,908
03 Asturias, Principado de;Índice general;Índice;2017M06;95,644
03 Asturias, Principado de;Índice general;Índice;2017M05;95,578
03 Asturias, Principado de;Índice general;Índice;2017M04;95,817
03 Asturias, Principado de;Índice general;Índice;2017M03;94,795
03 Asturias, Principado de;Índice general;Índice;2017M02;94,947
03 Asturias, Principado de;Índice general;Índice;2017M01;95,228
04 Balears, Illes;Índice general;Índice;2019M12;97,781
04 Balears, Illes;Índice general;Índice;2019M11;97,693
04 Balears, Illes;Índice general;Índice;2019M10;97,513
04 Balears, Illes;Índice general;Índice;2019M09;97,062
04 Balears, Illes;Índice general;Índice;2019M08;97,225
04 Balears, Illes;Índice general;Índice;2019M07;97,251
04 Balears, Illes;Índice general;Índice;2019M06;97,506
04 Balears, Illes;Índice general;Índice;2019M05;97,523
04 Balears, Illes;Índice general;Índice;2019M04;97,250
04 Balears, Illes;Índice general;Índice;2019M03;96,367
04 Balears, Illes;Índice general;Índice;2019M02;95,890
04 Balears, Illes;Índice general;Índice;2019M01;95,893
04 Balears, Illes;Índice general;Índice;2018M12;96,838
04 Balears, Illes;Índice general;Índice;2018M11;97,284
04 Balears, Illes;Índice general;Índice;2018M10;97,438
04 Balears, Illes;Índice general;Índice;2018M09;97,007
04 Balears, Illes;Índice general;Índice;2018M08;97,141
04 Balears, Illes;Índice general;Índice;2018M07;97,072
04 Balears, Illes;Índice general;Índice;2018M06;97,542
04 Balears, Illes;Índice general;Índice;2018M05;97,162
04 Balears, Illes;Índice general;Índice;2018M04;96,109
04 Balears, Illes;Índice general;Índice;2018M03;95,289
04 Balears, Illes;Índice general;Índice;2018M02;95,237
04 Balears, Illes;Índice general;Índice;2018M01;95,253
04 Balears, Illes;Índice general;Índice;2017M12;96,148
04 Balears, Illes;Índice general;Índice;2017M11;96,100
04 Balears, Illes;Índice general;Índice;2017M10;95,611
04 Balears, Illes;Índice general;Índice;2017M09;95,204
04 Balears, Illes;Índice general;Índice;2017M08;95,308
04 Balears, Illes;Índice general;Índice;2017M07;95,181
04 Balears, Illes;Índice general;Índice;2017M06;95,418
04 Balears, Illes;Índice general;Índice;2017M05;95,195
04 Balears, Illes;Índice general;Índice;2017M04;95,112
04 Balears, Illes;Índice general;Índice;2017M03;94,258
04 Balears, Illes;Índice general;Índice;2017M02;94,240
04 Balears, Illes;Índice general;Índice;2017M01;94,598
05 Canarias;Índice general;Índice;2019M12;98,232
05 Canarias;Índice general;Índice;2019M11;97,980
05 Canarias;Índice general;Índice;2019M10;97,723
05 Canarias;Índice general;Índice;2019M09;97,141
05 Canarias;Índice general;Índice;2019M08;96,897
05 Canarias;Índice general;Índice;2019M07;96,877
